timedelta,P,Q
234600,-521.276916503906,-52.1276916503906
234900,-501.125946044922,-50.1125946044922
235200,-481.182586669922,-48.1182586669922
235500,-461.453002929688,-46.1453002929688
235800,-441.943450927734,-44.1943450927734
236100,-422.267211914062,-42.2267211914062
236400,-403.801452636719,-40.3801452636719
236700,-385.556365966797,-38.5556365966797
237000,-367.537811279297,-36.7537811279297
237300,-349.751800537109,-34.9751800537109
237600,-332.204528808594,-33.2204528808594
237900,-311.873962402344,-31.1873962402344
238200,-291.971618652344,-29.1971618652344
238500,-272.512359619141,-27.2512359619141
238800,-253.511795043945,-25.3511795043945
239100,-234.986358642578,-23.4986358642578
239400,-216.953277587891,-21.6953277587891
239700,-199.430419921875,-19.9430419921875
240000,-182.436065673828,-18.2436065673828
240300,-165.988418579102,-16.5988418579102
240600,-150.104583740234,-15.0104583740234
240900,-136.110549926758,-13.6110549926758
241200,-122.368507385254,-12.2368507385254
241500,-114.946022033691,-11.4946022033691
241800,-107.51432800293,-10.751432800293
242100,-100.075019836426,-10.0075019836426
242400,-92.6297988891602,-9.26297988891602
242700,-85.1805038452148,-8.51805038452148
243000,-77.7289810180664,-7.77289810180664
243300,-70.2770156860352,-7.02770156860352
243600,-62.8259773254395,-6.28259773254395
243900,-55.3763008117676,-5.53763008117676
244200,-47.9262924194336,-4.79262924194336
244500,-40.469856262207,-4.0469856262207
244800,-32.9920539855957,-3.29920539855957
245100,-30.4752540588379,-3.04752540588379
245400,-27.9534568786621,-2.79534568786621
245700,-25.4443168640137,-2.54443168640137
